violation_type,offence_code
WRONG PARKING,106
WRONG PARKING,107
WRONG PARKING,108
WRONG PARKING,109
WRONG PARKING,111
WRONG PARKING,112
WRONG PARKING,113
WRONG PARKING,116
WRONG PARKING,124
WRONG PARKING,125
WRONG PARKING,139
WRONG PARKING,144
